Id,Wohngebiet,Nachbarschaft,Bedingung1,Wohnungsklasse,Gebauedetyp,Wohnungsstil,Baujahr,Umbaujahr,Hausqualitaet,Hauszustand,Grundstuecksgroesse,Gelaendekontur,Grundstueckanordnung,Strassenlaenge,Fundament,Mauerwerktyp,Mauerwerkflaeche,Verkleidung1,Verkleidung2,Dachtyp,Aussenmaterialqualitaet,Aussenmaterialzustand,Kellerhoehe,Kellerzustand,Kellerbelichtung,Kellerbereich1,Kellerbereichgroesse1,Kellerbereich2,KellerbereichgroesseNAu,KellerbereichgroesseGes,KellerVollbadezimmer,KellerHalbbadezimmer,OberirdischeWohnflaeche,1Stockflaeche,2Stockflaeche,OberirdischeRaueme,Funktionalitaet,OberirdischeVollbadezimmer,OberirdischeHalbbadezimmer,Schlafzimmer,Kuechen,KuechenQualitaet,Kamine,Kaminqualitaet,Heizung,Heizungsqualitaet,Klimalanlage,Elektrik,Holzdeckflaeche,OffeneVerandaflaeche,GeschlosseneVerandaflaeche,3JahreszeitenVerandaflaeche,AbgeschirmteVerandaflaeche,Poolflaeche,Zaunqualitaet,Garagentyp,Garagenbaujahr,Garageninnenausbau,Garagenautos,Garagenflaeche,EinfahrtGepflastert,SondermerkmalWert,Verkaufsmonat,Verkaufsjahr,Verkaufstyp,Verkaufsbedingung,Verkaufspreis
11,WN,Nied,Norm,20,1Fam,1Sto,2017,2018,8,5,1033.02,Ebn,Inn,29.4,BetonGeg,Stein,18.0,Vinyl,Vinyl,Giebel,Gu,Du,Ag,Ty,Ke,GWR,109.62,NAu,43.74,153.36,1.0,0.0,153.36,153.36,0.0,7,Typ,2,0,3,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,0.0,4.5,0.0,0.0,0.0,0.0,Nan,Verbund,2018.0,GAu,3.0,69.48,J,0.0,5,2020,GarK,Normal,260100.0
12,WN,Sindlin,Norm,120,StHAb,1Sto,2015,2015,9,5,733.23,Hng,Inn,18.0,BetonGeg,ZiegGla,20.7,Metall,Metall,Walm,Gu,Du,Ag,Ty,Gu,GWR,107.19,NAu,47.07,154.26,1.0,0.0,154.26,154.26,0.0,7,Typ,2,0,2,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,14.04,4.95,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,Aus,2.0,46.53,J,0.0,8,2016,GarK,Normal,270300.0
13,WN,Höchst,Norm,20,1Fam,1Sto,1970,1988,5,5,1110.78,Ebn,Inn,19.48279027870909,BetonSte,Kein,0.0,Holz,Holz,Walm,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,88.02,88.02,0.0,0.0,127.98,127.98,0.0,6,Ger1,1,0,3,1,Du,1,Du,GasWO,Du,J,SLSRo,0.0,0.0,3.24,0.0,0.0,0.0,GuHol,Verbund,1970.0,GAu,1.0,25.74,J,510.0,8,2017,GarK,Normal,118915.0
14,WN,Hochsch,Norm,60,1Fam,2Sto,2015,2015,7,5,756.0,Ebn,Inn,21.0,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Du,NAu,0.0,NAu,70.56,70.56,0.0,0.0,144.99,70.56,74.43,6,Typ,2,1,3,1,Gu,0,Nan,GasWO,Ag,J,SLSRo,12.96,3.24,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,GAu,2.0,51.48,J,0.0,3,2016,GarK,Normal,166430.0
15,WN,Gallus,Norm,120,StHAb,1Sto,1994,1994,5,6,348.21,Ebn,Inn,11.7,BetonSte,ZiegGla,13.41,Holz,Holz,Giebel,Gu,Ag,Ty,Ty,Ke,SQ,25.47,GWR,0.0,93.42,0.0,0.0,93.42,93.42,0.0,5,Typ,2,0,2,1,Du,0,Nan,GasWO,Gu,J,SLSRo,0.0,9.45,0.0,0.0,0.0,0.0,Nan,Verbund,1994.0,GAu,1.0,23.76,J,0.0,7,2017,GarK,Normal,110500.0
16,WN,Westend,Norm,60,1Fam,2Sto,2003,2003,7,5,1010.52,Ebn,SG,17.7,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Ke,UWR,4.5,GWR,44.91,97.2,0.0,1.0,188.73,97.2,91.53,9,Typ,2,1,3,1,Gu,1,Du,GasWO,Ag,J,SLSRo,17.64,16.83,0.0,0.0,0.0,0.0,Nan,Verbund,2003.0,NAu,3.0,61.02,J,0.0,12,2018,GarK,Normal,193800.0
17,WN,Gallus,Norm,20,1Fam,1Sto,1963,1963,6,5,940.68,Ebn,Inn,25.5,BetonSte,Stein,19.44,Holz,Holz,Walm,Du,Du,Ty,Ty,Mn,DAR,45.0,NAu,53.46,98.46,0.0,0.0,98.46,98.46,0.0,5,Typ,1,0,3,1,Du,2,Gu,GasWO,Ag,J,SLSRo,0.0,0.0,0.0,0.0,25.83,0.0,Nan,Verbund,1963.0,GAu,2.0,44.55,J,0.0,6,2018,GarK,Normal,131750.0
18,WN,Gallus,Norm,20,1Fam,1Sto,2012,2012,6,5,724.5,Ebn,Inn,22.5,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Du,Du,Gu,Ty,Du,GWR,42.75,DWR,12.78,82.26,1.0,0.0,82.26,82.26,0.0,4,Typ,1,0,2,1,Gu,0,Nan,GasWO,Ag,J,SLSRo,2.88,0.0,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,NAu,0.0,0.0,N,0.0,4,2016,GarK,Normal,99662.5
19,WN,Gallus,Norm,20,1Fam,1Sto,1973,1973,4,6,747.72,Ebn,Inn,20.1,BetonSte,Stein,1.8,Vinyl,Vinyl,Giebel,Du,Gu,Ty,Ty,Ke,UWR,11.88,SQ,10.35,97.92,0.0,0.0,97.92,97.92,0.0,4,Typ,1,0,2,1,Du,0,Nan,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Abgetr,2012.0,NAu,2.0,46.8,P,0.0,6,2017,GeBU,Normal,93500.0
20,WN,Sachsen,Norm,80,1Fam,GSto,1968,1997,5,6,1244.25,Ebn,Inn,25.5,BetonSte,Kein,0.0,Metall,Metall,Giebel,Du,Gu,Ty,Ty,Ke,NAu,0.0,NAu,47.97,47.97,0.0,1.0,144.09,91.89,52.2,6,Ger2,1,0,3,1,Du,0,Nan,GasWO,Du,J,SLSRo,25.2,3.06,0.0,0.0,0.0,0.0,Nan,Eingeb,1968.0,GAu,1.0,27.0,J,0.0,12,2018,GarK,Normal,119000.0
21,WN,Hochsch,Norm,20,1Fam,1Sto,1987,1987,5,4,1467.0,Ebn,SG,11.7,BetonSte,Kein,0.0,Hartfas,Hartfas,Giebel,Du,Du,Gu,Ty,Du,DAR,5.4,UWR,35.91,78.84,1.0,0.0,81.63,81.63,0.0,5,Typ,1,0,3,1,Du,0,Nan,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,MnPrv,Verbund,1987.0,GAu,1.0,27.72,J,0.0,1,2017,GarK,Normal,110500.0
22,WN,Hausen,Norm,85,1Fam,GFoy,1989,1989,6,6,1093.5,Erh,SG,20.774234300787896,BetonSte,Kein,0.0,Hartfas,HlzSch,Giebel,Du,Du,Gu,Ty,Du,GWR,90.09,NAu,0.0,90.09,1.0,0.0,116.91,116.91,0.0,5,Typ,2,0,2,1,Gu,1,Sc,GasWO,Du,J,SLSRo,7.56,0.0,19.98,0.0,0.0,0.0,MnPrv,Eingeb,1989.0,GAu,2.0,43.74,J,0.0,1,2017,GarK,Normal,155975.0
23,WN,Höchst,Norm,90,DoppH,1Sto,1972,2011,5,6,1193.4,Ebn,Inn,29.4,BetonSte,ZiegGla,12.96,Hartfas,Hartfas,Walm,Du,Du,Ty,Ty,Ke,UWR,135.0,NAu,20.52,155.52,2.0,0.0,155.52,155.52,0.0,10,Typ,2,0,6,2,Du,0,Nan,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,NAu,0.0,0.0,J,0.0,1,2020,And,Abnormal,72165.0
24,WN,Höchst,Norm,60,1Fam,2Sto,1976,1976,7,6,1278.0,Ebn,Eck,26.4,BetonSte,ZiegGla,27.81,Metall,Metall,Giebel,Du,Du,Ty,Ty,Ke,DAR,40.05,NAu,43.11,83.16,0.0,0.0,194.13,109.44,84.69,8,Typ,2,1,4,1,Gu,2,Gu,GasWO,Ag,J,SLSRo,9.45,5.94,0.0,0.0,0.0,0.0,GuPrv,Verbund,1976.0,Aus,2.0,43.83,J,0.0,5,2016,GarK,Normal,192100.0
25,WN,Höchst,Norm,20,1Fam,1Sto,1977,1977,5,5,864.0,Ebn,Inn,24.0,BetonSte,Kein,0.0,Hartfas,Hartfas,Walm,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,141.12,141.12,0.0,0.0,141.12,141.12,0.0,7,Typ,1,1,3,1,Du,0,Nan,GasWO,Du,J,SLSRo,14.4,3.6,0.0,0.0,0.0,0.0,Nan,Verbund,1977.0,NAu,2.0,39.6,J,0.0,3,2019,GeBU,Normal,121550.0
26,WN,Hausen,Norm,60,1Fam,2Sto,2010,2011,8,5,911.25,Ebn,Inn,22.5,BetonGeg,Kein,0.0,Zement,ZementPl,Giebel,Gu,Du,Gu,Ty,Ke,DWR,40.05,UWR,37.08,99.63,0.0,0.0,184.68,93.6,91.08,7,Typ,2,1,3,1,Gu,1,Du,GasWO,Ag,J,SLSRo,18.9,8.19,0.0,0.0,0.0,0.0,Nan,Eingeb,2010.0,Aus,3.0,57.78,J,0.0,5,2019,GarK,Normal,213350.0
27,WN,Ginnhei,Hbf,60,1Fam,2Sto,2014,2015,7,5,1384.56,Ebn,Inn,18.0,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Du,GWR,65.16,NAu,5.76,70.92,1.0,0.0,134.1,70.92,63.18,8,Typ,2,1,3,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,9.0,6.75,0.0,0.0,0.0,0.0,Nan,Verbund,2014.0,Aus,2.0,34.92,J,0.0,2,2018,GarK,Normal,156400.0
28,WN,Gallus,Norm,50,1Fam,1.5V,1955,1960,4,3,756.45,Ebn,Inn,15.0,Platten,Kein,0.0,HolzSch,HlzSch,Giebel,Du,Du,Nan,Nan,Nan,Nan,0.0,Nan,0.0,0.0,0.0,0.0,137.61,97.92,39.69,9,Mit,2,0,4,1,Du,0,Nan,WandOf,Du,N,SichAr,8.28,0.0,16.65,0.0,0.0,0.0,Nan,Abgetr,1955.0,NAu,1.0,21.6,N,0.0,4,2019,GarK,Normal,83300.0
29,WN,Oberrad,Norm,120,StHAb,1Sto,2015,2016,7,5,286.38,Ebn,Inn,12.9,BetonGeg,ZiegGla,0.99,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Ke,GWR,1.44,NAu,101.61,103.05,0.0,0.0,103.05,103.05,0.0,5,Typ,2,0,2,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,9.0,1.44,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,Aus,2.0,35.73,J,0.0,9,2019,GarK,Normal,136170.0
30,WN,Nied,Norm,120,StHAb,1Sto,2015,2015,9,5,689.22,Ebn,Inn,18.3,BetonGeg,ZiegGla,37.08,Metall,Metall,Walm,Ag,Du,Ag,Ty,Ke,GWR,41.04,NAu,116.64,157.68,1.0,0.0,157.68,157.68,0.0,6,Typ,2,0,2,1,Ag,1,Gu,GasWO,Ag,J,SLSRo,17.64,7.38,0.0,0.0,0.0,0.0,Nan,Verbund,2015.0,GAu,2.0,51.84,J,0.0,2,2020,GarK,Normal,271915.0
31,WN,Sindlin,Norm,120,StHAb,1Sto,2011,2011,8,5,442.8,Ebn,Inn,12.3,BetonGeg,Kein,0.0,Zement,ZementPl,Giebel,Gu,Du,Gu,Ty,Mn,GWR,55.44,NAu,64.98,120.42,1.0,0.0,120.42,120.42,0.0,6,Typ,2,0,2,1,Gu,0,Nan,GasWO,Ag,J,SLSRo,0.0,0.0,15.3,0.0,0.0,0.0,Nan,Verbund,2011.0,Aus,2.0,52.38,J,0.0,4,2020,GarK,Normal,181475.0
32,WM,Eisenba,Norm,75,1Fam,2.5U,1930,2006,5,7,648.0,Ebn,Inn,18.0,ZiegFli,Kein,0.0,Metall,Metall,Giebel,Du,Du,Ty,Ar,Ke,NAu,0.0,NAu,47.7,47.7,0.0,0.0,99.99,52.29,47.7,6,Typ,1,0,3,1,Ar,0,Nan,GasWO,Du,N,SLSRo,0.0,0.0,12.96,0.0,0.0,0.0,Nan,Abgetr,1945.0,NAu,1.0,25.92,N,0.0,3,2017,GarK,Normal,85850.0
33,D,Schwanh,Norm,20,1Fam,1Sto,2017,2018,8,5,777.6,Ebn,Inn,21.6,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Ke,GWR,2.16,NAu,120.51,122.67,0.0,0.0,123.48,123.48,0.0,6,Typ,2,0,3,1,Gu,0,Nan,GasWO,Ag,J,SLSRo,17.28,10.17,0.0,0.0,0.0,0.0,Nan,Verbund,2018.0,GAu,2.0,52.92,J,0.0,7,2018,Neu,Unfertig,180795.0
34,WN,Sachsen,Zubr,85,1Fam,GFoy,1973,1973,5,6,1011.15,Ebn,Eck,19.722714512168686,BetonSte,Kein,0.0,Hartfas,Holz,Giebel,Du,Du,Gu,Ty,Du,DWR,70.56,NAu,17.73,88.29,1.0,0.0,96.75,96.75,0.0,6,Typ,1,0,3,1,Gu,0,Nan,GasWO,Du,J,SLSRo,5.76,0.0,0.0,0.0,5.76,0.0,MnPrv,Abgetr,2006.0,NAu,2.0,39.6,J,0.0,5,2018,GarK,Abnormal,125800.0
35,WN,Hausen,Norm,80,1Fam,GSto,1987,1987,6,6,1436.13,Snk,Eck,20.90752554159878,BetonGeg,Kein,0.0,Hartfas,Sperrho,Giebel,Du,Du,Gu,Ty,Gu,GWR,103.32,NAu,8.64,111.96,2.0,0.0,122.04,122.04,0.0,6,Typ,2,0,3,1,Du,1,Du,GasWO,Du,J,SLSRo,128.16,0.0,0.0,0.0,0.0,0.0,MnPrv,Verbund,1987.0,Aus,2.0,47.52,J,0.0,9,2017,GarK,Normal,159800.0
36,WN,Eckenhe,Norm,30,1Fam,1Sto,1936,1960,5,5,650.07,Ebn,Inn,16.2,BetonGeg,Kein,0.0,Stuck,Sperrho,Walm,Du,Du,Ty,Ty,Mn,UWR,28.71,NAu,87.39,116.1,0.0,0.0,127.98,127.98,0.0,6,Typ,1,0,3,1,Du,0,Nan,GasWO,Du,J,SLSRo,0.0,0.0,5.76,0.0,0.0,0.0,MnPrv,Abgetr,1983.0,NAu,1.0,31.68,J,0.0,4,2017,GarK,Normal,116025.0
37,WN,Höchst,Norm,80,1Fam,GSto,1965,1982,6,6,864.0,Ebn,Inn,24.0,BetonSte,ZiegGla,14.76,AsbeSch,AsbeSch,Giebel,Du,Du,Ty,Ty,Du,UWR,60.66,SQ,31.5,104.04,1.0,0.0,136.8,136.8,0.0,7,Typ,1,0,3,1,Du,2,Gu,GasWO,Ag,J,SLSRo,0.0,0.0,17.01,0.0,0.0,0.0,Nan,Tiefgar,1965.0,GAu,1.0,32.76,J,0.0,3,2020,GarK,Normal,130050.0
38,WN,Sachsen,Norm,20,1Fam,1Sto,1976,1976,5,4,1050.93,Ebn,Inn,18.982207618774876,BetonSte,ZiegGla,39.78,Hartfas,Hartfas,Giebel,Du,Du,Ty,Ty,Du,DAR,22.41,UWR,2.7,93.6,1.0,0.0,93.6,93.6,0.0,6,Typ,1,0,3,1,Du,0,Nan,GasWO,Du,J,SLSRo,0.0,8.1,0.0,0.0,0.0,0.0,MnPrv,Verbund,1976.0,GAu,1.0,23.76,J,0.0,2,2017,GarK,Normal,104550.0
39,WN,Kalbach,Norm,60,1Fam,2Sto,2004,2005,8,5,921.24,Ebn,Inn,24.84702221445385,BetonGeg,ZiegGla,45.09,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Gu,GWR,34.2,UWR,66.78,116.1,1.0,0.0,224.46,117.45,107.01,9,Typ,2,1,4,1,Gu,1,Du,GasWO,Ag,J,SLSRo,18.0,8.55,0.0,0.0,0.0,0.0,GuPrv,Verbund,2004.0,Aus,3.0,72.27,J,0.0,6,2016,GarK,Normal,272850.0
40,WN,Sachsen,Norm,85,1Fam,GFoy,1994,1994,5,5,666.0,Ebn,SG,19.841195615111694,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,Du,Du,Gu,Ty,Du,SQ,9.36,DWR,0.0,95.4,1.0,0.0,101.34,101.34,0.0,5,Typ,1,0,2,1,Du,0,Nan,GasWO,Du,J,SLSRo,16.02,0.0,0.0,0.0,0.0,0.0,Nan,Verbund,1994.0,NAu,2.0,45.54,J,0.0,3,2018,GarK,Normal,129200.0
41,WN,Höchst,Norm,20,1Fam,1Sto,1980,1980,6,7,1163.25,Ebn,Eck,22.373729190518524,BetonSte,Kein,0.0,ZiegMau,Sperrho,Giebel,Du,Du,Ty,Ty,Mn,UWR,77.85,NAu,30.6,108.45,0.0,0.0,190.53,190.53,0.0,7,Typ,2,1,4,1,Du,2,Gu,GasWO,Ag,J,SLSRo,0.0,3.78,0.0,0.0,0.0,0.0,Nan,Verbund,1980.0,Aus,2.0,49.5,J,0.0,5,2018,GarK,Normal,201875.0
42,WN,Hochsch,Norm,20,1Fam,1Sto,1987,2014,5,8,1371.6,Ebn,2St,11.4,BetonSte,Kein,0.0,Zement,ZementPl,Giebel,Gu,Gu,Gu,Ty,Ke,GWR,17.82,DAR,12.6,92.34,1.0,0.0,92.34,92.34,0.0,5,Typ,1,1,3,1,Du,0,Nan,GasWO,Ag,J,SLSRo,28.44,7.65,0.0,0.0,0.0,0.0,MnPrv,Verbund,1987.0,NAu,1.0,27.72,J,0.0,6,2020,GarK,Normal,127500.0
43,D,Schwanh,Norm,160,StHau,2Sto,2009,2009,7,5,205.2,Ebn,Inn,7.2,BetonGeg,ZiegGla,32.4,Metall,Metall,Giebel,Du,Du,Gu,Ty,Ke,DWR,49.41,NAu,17.55,66.96,0.0,0.0,135.09,68.13,66.96,6,Typ,2,1,3,1,Du,0,Nan,GasWO,Gu,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Abgetr,2009.0,NAu,2.0,39.6,J,0.0,8,2018,GarK,Normal,152490.0
44,WN,Sossenh,Norm,20,1Fam,1Sto,2018,2018,7,5,1070.64,Ebn,Eck,26.4,BetonGeg,Stein,5.4,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Ke,GWR,7.02,NAu,113.22,120.24,1.0,0.0,121.14,121.14,0.0,6,Typ,2,0,3,1,Gu,1,Du,GasWO,Ag,J,SLSRo,9.0,4.32,0.0,0.0,0.0,0.0,Nan,Verbund,2018.0,Aus,3.0,59.4,J,0.0,5,2020,GarK,Normal,187000.0
45,WM,Bockenh,Norm,160,StHau,2Sto,1981,1981,6,5,151.2,Ebn,Inn,6.3,BetonSte,ZiegGla,20.88,Hartfas,Hartfas,Giebel,Du,Du,Ty,Ty,Ke,DWR,34.83,NAu,8.64,43.47,0.0,0.0,88.83,43.47,45.36,4,Typ,1,1,2,1,Du,0,Nan,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,Nan,Abgetr,1981.0,NAu,1.0,23.76,J,0.0,7,2018,GeBU,Abnormal,72590.0
46,WN,Höchst,Norm,20,1Fam,1Sto,1969,1969,6,5,902.88,Ebn,Inn,24.0,BetonSte,Stein,38.88,Holz,Holz,Giebel,Du,Du,Ty,Ty,Ke,DAR,66.06,NAu,45.9,111.96,1.0,0.0,142.2,142.2,0.0,6,Typ,1,1,3,1,Du,2,Gu,GasWO,Ag,J,SLSRo,0.0,2.52,0.0,0.0,14.4,0.0,GuHol,Verbund,1966.0,NAu,2.0,39.6,J,0.0,6,2020,GarK,Normal,135575.0
47,WM,Bornhei,Norm,30,1Fam,1Sto,1955,2005,5,6,550.8,Ebn,Inn,17.747042120594,BetonSte,Kein,0.0,Sperrho,Sperrho,Giebel,Du,Gu,Nan,Nan,Nan,Nan,0.0,Nan,0.0,0.0,0.0,0.0,72.72,72.72,0.0,6,Ger2,1,0,1,1,Du,0,Nan,GasWO,Gu,N,SLSRo,0.0,4.32,0.0,0.0,0.0,0.0,Nan,Verbund,1935.0,NAu,1.0,14.76,P,0.0,6,2018,GarK,Normal,69105.0
48,WN,Schwanh,Hbf,20,1Fam,1Sto,2017,2017,8,5,1373.04,Ebn,SG,14.7,BetonGeg,Stein,7.56,Vinyl,Vinyl,Giebel,Gu,Du,Gu,Ty,Gu,GWR,83.61,NAu,50.04,133.65,1.0,0.0,131.76,131.76,0.0,6,Typ,2,0,3,1,Gu,0,Nan,GasWO,Ag,J,SLSRo,15.12,14.4,0.0,0.0,0.0,0.0,Nan,Verbund,2017.0,NAu,3.0,67.86,J,0.0,8,2017,GarK,Normal,240483.7
